condition,symptoms
common cold,"vomiting,ear pain,chills"
oral mucosal lesion,"cough,lip swelling,fever,tongue lesions,gum pain"
pulmonary embolism,"shortness of breath,sharp chest pain,chest tightness,leg pain,leg swelling,weakness,side pain,difficulty breathing,hemoptysis,sweating"
sprain or strain,"leg pain,wrist pain,arm pain,neck pain,low back pain,knee pain,foot or toe pain,ankle pain"
bell palsy,"abnormal involuntary movements,headache,diminished vision,symptoms of eye,symptoms of the face"
alzheimer disease,"depressive or psychotic symptoms,hostile behavior,eye burns or stings,delusions or hallucinations"
hormone disorder,"lack of growth,headache,hot flashes,acne or pimples"
macular degeneration,"double vision,symptoms of eye,foreign body sensation in eye,itchiness of eye"
overflow incontinence,"suprapubic pain,involuntary urination,blood in urine,hand or finger stiffness or tightness,impotence,symptoms of bladder"
social phobia,"anxiety and nervousness,depressive or psychotic symptoms,abusing alcohol,excessive appetite,delusions or hallucinations,fears and phobias"
induced abortion,"vaginal discharge,intermenstrual bleeding,pain during pregnancy,spotting or bleeding during pregnancy,cramps and spasms,groin pain"
crohn disease,"nausea,diarrhea,rectal bleeding"
ischemic heart disease,"shortness of breath,sharp chest pain,peripheral edema,muscle pain,difficulty breathing,fatigue"
premature ventricular contractions (pvcs),"shortness of breath,irregular heartbeat,impotence,sleepiness"
smoking or tobacco addiction,"shortness of breath,sharp chest pain,cough,excessive anger,coughing up sputum,hemoptysis,hurts to breath"
ulcerative colitis,"blood in stool,sharp abdominal pain,vomiting,diarrhea,swollen lymph nodes,rectal bleeding"
benign vaginal discharge (leukorrhea),"suprapubic pain,vaginal itching,painful urination,frequent urination,vaginal discharge,vaginal redness,problems during pregnancy"
herpangina,"insomnia,cough,vomiting,mouth ulcer,swollen lymph nodes,decreased appetite,fever"
alcohol abuse,"anxiety and nervousness,vomiting blood"
deviated nasal septum,"nasal congestion,facial pain,difficulty breathing,apnea,abnormal breathing sounds"
hypoglycemia,"depressive or psychotic symptoms,dizziness,feeling ill,nausea,problems with movement,decreased appetite,seizures,sweating"
pelvic inflammatory disease,"vomiting,painful urination,vaginal discharge,pelvic pain,burning abdominal pain"
preeclampsia,"headache,vaginal redness,spots or clouds in vision,problems during pregnancy,recent pregnancy"
psoriasis,"skin swelling,abnormal appearing skin,skin lesion,irregular appearing scalp,skin moles,itching of skin"
conjunctivitis due to allergy,"cough,eye redness,itchiness of eye,eye burns or stings,swollen eye"
acute bronchitis,"shortness of breath,sore throat,nasal congestion,wheezing,fever,coughing up sputum,coryza,congestion in chest"
cardiac arrest,"shortness of breath,sharp chest pain,arm swelling,weakness,decreased heart rate"
chronic back pain,"low back pain,loss of sensation,lower body pain,groin pain,back cramps or spasms,back stiffness or tightness"
chronic obstructive pulmonary disease (copd),"shortness of breath,sharp chest pain,sore throat,cough"
herniated disk,"hip pain,arm pain,low back pain,loss of sensation,arm weakness,leg weakness"
conjunctivitis due to bacteria,"sore throat,nasal congestion,abnormal appearing skin,fever"
drug reaction,"dizziness,throat swelling,vomiting,headache,nausea,allergic reaction"
pityriasis rosea,"abnormal appearing skin,skin rash"
transient ischemic attack,"dizziness,difficulty speaking,weakness,loss of sensation,symptoms of the face,paresthesia"
complex regional pain syndrome,"abnormal involuntary movements,leg pain,hand or finger pain,arm pain,neck pain,low back pain,foot or toe pain,problems with movement,paresthesia,ache all over"
eczema,"cough,skin lesion,irregular appearing scalp,itching of skin,skin irritation,warts"
noninfectious gastroenteritis,"vomiting,headache,nausea,diarrhea,burning abdominal pain,decreased appetite,fever,chills,rectal bleeding"
drug abuse (opioids),"anxiety and nervousness,depression,insomnia,abusing alcohol,drug abuse,restlessness,excessive anger,delusions or hallucinations,temper problems"
complex regional pain syndrome,"hand or finger pain,back pain,low back pain,foot or toe pain,loss of sensation,ache all over"
pyelonephritis,"suprapubic pain,sharp abdominal pain,nausea,lower abdominal pain,back pain,side pain"
injury to the trunk,"symptoms of the scrotum and testes,headache,wrist pain,back pain,neck pain,low back pain,lower body pain"
abdominal hernia,"symptoms of the scrotum and testes,regurgitation,ache all over,upper abdominal pain,swollen abdomen,regurgitation.1"
heart attack,"shortness of breath,chest tightness,heartburn,increased heart rate,burning chest pain"
hiatal hernia,"sharp abdominal pain,nausea,back pain,burning abdominal pain,upper abdominal pain"
viral warts,"skin swelling,lip swelling,abnormal appearing skin,skin lesion,warts"
flu,"headache,nausea,diarrhea,fever,ache all over,chills,coryza"
dementia,"insomnia,hostile behavior,problems with movement,delusions or hallucinations"
anxiety,"shortness of breath,sharp chest pain,insomnia,palpitations,irregular heartbeat,fears and phobias"
acute bronchospasm,"cough,vomiting,difficulty breathing"
benign prostatic hyperplasia (bph),"swelling of scrotum,frequent urination,symptoms of bladder,hesitancy"
nasal polyp,"hoarse voice,cough,nasal congestion,allergic reaction,painful sinuses"
cystitis,"retention of urine,frequent urination,side pain,symptoms of bladder"
pelvic inflammatory disease,"painful urination,lower abdominal pain,vaginal discharge,intermenstrual bleeding,back pain,burning abdominal pain"
contact dermatitis,"skin lesion,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness"
nasal polyp,"hoarse voice,cough,facial pain,painful sinuses"
allergy,"cough,skin swelling,lip swelling,peripheral edema,itchiness of eye,allergic reaction,itching of skin,skin rash"
asthma,"shortness of breath,sharp chest pain,fever,difficulty breathing,coughing up sputum,coryza,allergic reaction"
corneal disorder,"white discharge from eye,symptoms of eye,pain in eye,foreign body sensation in eye"
envenomation from spider or animal bite,"hand or finger swelling,allergic reaction,fluid retention,itching of skin"
infectious gastroenteritis,"blood in stool,nausea,burning abdominal pain,decreased appetite,fever,chills,fluid retention"
injury to the arm,"wrist pain,hand or finger swelling,arm pain,wrist swelling,arm swelling,elbow pain,joint pain,elbow swelling"
esophagitis,"sharp chest pain,chest tightness,sore throat,sharp abdominal pain,vomiting,nausea,burning abdominal pain,heartburn,upper abdominal pain"
cholecystitis,"sharp chest pain,vomiting,side pain,upper abdominal pain,symptoms of the kidneys"
hypoglycemia,"dizziness,feeling ill,nausea,weakness,seizures,sweating"
eczema,"abnormal appearing skin,skin lesion,acne or pimples,skin dryness, peeling, scaliness, or roughness,warts,skin rash"
degenerative disc disease,"hip pain,back pain,paresthesia,shoulder pain,joint pain"
contact dermatitis,"abnormal appearing skin,acne or pimples,skin moles,allergic reaction,itching of skin,skin dryness, peeling, scaliness, or roughness"
achalasia,"chest tightness,cough,throat feels tight,difficulty in swallowing"
intestinal obstruction,"sharp abdominal pain,nausea,pain of the anus,burning abdominal pain,stomach bloating,constipation"
sarcoidosis,"shortness of breath,sharp chest pain,chest tightness,headache"
fibromyalgia,"sharp chest pain,hip pain,headache,back pain,muscle pain,ache all over"
post-traumatic stress disorder (ptsd),"anxiety and nervousness,depressive or psychotic symptoms,insomnia,abusing alcohol,delusions or hallucinations"
knee ligament or meniscus tear,"knee pain,knee weakness,knee lump or mass,leg stiffness or tightness"
heart attack,"fainting,arm pain,heartburn,increased heart rate,sweating"
alopecia,"skin swelling,acne or pimples,too little hair,skin rash"
prostatitis,"retention of urine,sharp abdominal pain,frequent urination,blood in urine,chills"
bipolar disorder,"anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol,excessive anger"
temporary or benign blood in urine,"retention of urine,sharp abdominal pain,involuntary urination,frequent urination,lower abdominal pain,back pain"
osteoarthritis,"leg pain,hip pain,hand or finger pain,knee pain,knee weakness"
dislocation of the wrist,"depression,elbow weakness,arm pain"
benign prostatic hyperplasia (bph),"swelling of scrotum,pain in testicles,blood in urine,low urine output"
neurosis,"depression,insomnia,hostile behavior,headache,smoking problems,excessive anger,delusions or hallucinations"
ectopic pregnancy,"dizziness,sharp abdominal pain,nausea,lower abdominal pain,pain during pregnancy"
rosacea,"abnormal appearing skin,skin moles,lymphedema,itching of skin,skin dryness, peeling, scaliness, or roughness"
vulvodynia,"painful urination,vaginal discharge,back pain,side pain,cramps and spasms"
pain after an operation,"sharp abdominal pain,headache,lower abdominal pain,back pain,neck pain"
ectopic pregnancy,"dizziness,nausea,vaginal discharge,intermenstrual bleeding,pelvic pain"
pityriasis rosea,"vaginal itching,skin rash"
endophthalmitis,"diminished vision,pain in eye,eye redness,itchiness of eye,swollen eye"
lymphadenitis,"sore throat,cough,sharp abdominal pain,ear pain,fever"
bursitis,"leg pain,arm pain,arm swelling,knee pain,elbow pain,knee swelling,leg swelling,shoulder pain,shoulder stiffness or tightness"
hepatitis due to a toxin,"depression,jaundice,sharp abdominal pain,feeling ill,nausea,rectal bleeding,itching of skin"
macular degeneration,"diminished vision,pain in eye,itchiness of eye"
hyperosmotic hyperketotic state,"cough,weakness"
fracture of the neck,"hip pain,lower body pain"
seborrheic dermatitis,"skin lesion,acne or pimples,skin growth,symptoms of the face,itching of skin,skin dryness, peeling, scaliness, or roughness"
gastrointestinal hemorrhage,"dizziness,fainting,diarrhea,changes in stool appearance"
complex regional pain syndrome,"abnormal involuntary movements,hand or finger pain,neck pain,low back pain,foot or toe pain,loss of sensation,paresthesia"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,back pain,pelvic pain,cramps and spasms,blood clots during menstrual periods"
urinary tract obstruction,"sharp abdominal pain,frequent urination,blood in urine,back pain,excessive urination at night"
envenomation from spider or animal bite,"arm swelling,foot or toe swelling,allergic reaction,itching of skin"
sick sinus syndrome,"shortness of breath,palpitations,decreased heart rate,increased heart rate"
pyelonephritis,"sharp abdominal pain,nausea,frequent urination,lower abdominal pain,blood in urine,low back pain,side pain"
vitreous degeneration,"double vision,symptoms of eye,pain in eye,eye redness,lacrimation"
pyogenic skin infection,"skin swelling,hand or finger pain,hand or finger swelling,leg swelling,foot or toe swelling"
drug poisoning due to medication,"depressive or psychotic symptoms,abusing alcohol,lip swelling,slurring words,sleepiness"
otitis externa (swimmer's ear),"sore throat,cough,diminished hearing,plugged feeling in ear,itchy ear(s),fever,redness in ear"
actinic keratosis,"abnormal appearing skin,skin growth,skin dryness, peeling, scaliness, or roughness"
seasonal allergies (hay fever),"cough,lacrimation,sneezing"
sepsis,"cough,suprapubic pain,sharp abdominal pain,feeling ill,vomiting,weakness,decreased appetite"
sarcoidosis,"shortness of breath,sharp chest pain,chest tightness,facial pain,pain in eye,peripheral edema"
postpartum depression,"drug abuse,pain during pregnancy,excessive anger,problems during pregnancy,delusions or hallucinations"
cystitis,"sharp abdominal pain,involuntary urination,lower abdominal pain,back pain,pelvic pain"
spinal stenosis,"back pain,neck pain,low back pain"
breast infection (mastitis),"abnormal appearing skin,skin growth,mouth dryness,bleeding or discharge from nipple,fever,chills,lump or mass of breast,postpartum problems of the breast"
drug abuse (opioids),"anxiety and nervousness,abusing alcohol,drug abuse,restlessness,delusions or hallucinations"
dental caries,"skin swelling,neck swelling,gum pain,skin irritation,pain in gums"
conjunctivitis due to allergy,"cough,diminished vision,itchiness of eye,eye burns or stings,allergic reaction,swollen eye,sneezing"
pleural effusion,"shortness of breath,sharp abdominal pain,back pain"
pneumothorax,"shortness of breath,sharp chest pain,cough,drug abuse,shoulder pain"
stroke,"abnormal involuntary movements,difficulty speaking,headache,problems with movement,slurring words"
infectious gastroenteritis,"blood in stool,sharp abdominal pain,headache,nausea,burning abdominal pain,decreased appetite,fever,fluid retention,flu-like syndrome"
schizophrenia,"anxiety and nervousness,insomnia,excessive anger,delusions or hallucinations,hysterical behavior"
impetigo,"skin swelling,abnormal appearing skin,skin lesion,fever,sore in nose"
injury to the shoulder,"arm stiffness or tightness,neck pain,elbow pain,shoulder pain,shoulder stiffness or tightness"
sepsis,"shortness of breath,cough,sharp abdominal pain,vomiting,weakness,fever"
